"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC106845.1",6.00467787453177e-30,-0.566551225501071,0.057,0.071,9.36126355415436e-25
"PYGB",6.13118909316541e-30,-0.279926220979028,0.191,0.212,9.55440385755076e-25
"SNRPE",6.19876448037533e-30,-0.224507942327957,0.069,0.085,9.65557686614141e-25
"TMEM9B",6.40765579907397e-30,-0.212754922103987,0.116,0.135,9.97669164330216e-25
"POLDIP2",6.50829356888167e-30,-0.121119331007926,0.091,0.108,1.01290536982129e-24
"KEL",6.5887539011161e-30,0.597484974892462,0.021,0.014,1.02498962439807e-24
"THAP5",6.67747962809005e-30,-0.249156770047161,0.061,0.075,1.03834882917896e-24
"SOX21",7.76893121824583e-30,-1.16249219520403,0.006,0.011,1.2075540654938e-24
"TSPAN5",8.02955626805466e-30,0.100018880498114,0.581,0.565,1.24753154223556e-24
"POU3F2",8.89464830135377e-30,-0.444048569755214,0.059,0.073,1.3813493575408e-24
"GRASP",9.35497226017269e-30,-0.288884799520336,0.115,0.133,1.45221892740183e-24
"AC079781.5",9.44658310326899e-30,0.167414280586626,0.398,0.381,1.46581532004106e-24
"MSI1",1.01303762350451e-29,-0.682250449067329,0.024,0.033,1.5712492341625e-24
"SGMS1",1.02765401293733e-29,0.143905248763198,0.418,0.397,1.59324110400545e-24
"CNDP2",1.07814509083241e-29,-0.125476154041885,0.092,0.109,1.67080953105725e-24
"TNFSF12",1.20531278217483e-29,-0.280535372131123,0.049,0.063,1.86708775039201e-24
"ALG1L9P",1.21469113826469e-29,0.269566144368252,0.169,0.149,1.88081527072046e-24
"NECAB3",1.27075437982156e-29,-0.268964802353054,0.09,0.107,1.96678679870567e-24
"GZF1",1.32570520947299e-29,-0.414705957785173,0.039,0.05,2.05096430002484e-24
"NINJ1",1.35772225460004e-29,-0.443981297226572,0.027,0.037,2.09960511306042e-24
"AC009061.2",1.36018564687017e-29,0.20783513176951,0.134,0.115,2.10252175480248e-24
"CDK13",1.40938257147575e-29,0.139183536138758,0.452,0.434,2.17764413882412e-24
"ACOT7",1.4597672507717e-29,-0.18789256543567,0.24,0.263,2.25453723330072e-24
"TNFSF13",1.50707126267574e-29,-1.21674338079046,0.006,0.011,2.32660921731745e-24
"DDX3X",1.54139687554984e-29,-0.170363452893585,0.231,0.254,2.37859262449406e-24
"SHMT2",1.55460696633112e-29,-0.651370960466377,0.023,0.032,2.39796157099728e-24
"ARHGEF18",1.56527923003399e-29,0.223589339842087,0.162,0.142,2.41340120819715e-24
"AC006504.2",1.58777139088091e-29,0.797216432024032,0.06,0.047,2.44704438805969e-24
"AL357153.2",1.6369672035209e-29,0.277137029527922,0.241,0.221,2.5217968783031e-24
"SPRED2",1.71586422982205e-29,-0.167383161097901,0.324,0.349,2.6422224128425e-24
"RGMB",1.83251805868168e-29,-0.168322865857334,0.127,0.146,2.82066246512461e-24
"PPP5C",1.91193465880881e-29,-0.263020361508395,0.165,0.185,2.94165938701534e-24
"FAM228B",1.94833792621789e-29,0.236213538394648,0.237,0.216,2.99640272285682e-24
"AZIN1",1.95331738578811e-29,-0.127841509290706,0.217,0.239,3.00279270005426e-24
"RNF41",2.00229389349557e-29,-0.142404388621642,0.119,0.138,3.07678446003423e-24
"ICMT",2.02222973635526e-29,-0.223887979181649,0.067,0.081,3.10610787616949e-24
"ADAMTS14",2.11214682644806e-29,0.528023685193157,0.02,0.012,3.24285116688512e-24
"ZNF208",2.12380995767164e-29,-0.299543758298687,0.037,0.049,3.25938386276032e-24
"CDKN2AIPNL",2.20302850331584e-29,-0.133990615737082,0.058,0.072,3.37953538567621e-24
"FAM215B",2.23202756513167e-29,0.31406889055721,0.078,0.064,3.42257943363553e-24
"HOPX",2.24102539326133e-29,-0.21879643220643,0.166,0.187,3.43493036991564e-24
"SH3YL1",2.34527870784338e-29,0.222900319471373,0.246,0.224,3.5932122825584e-24
"ZNF552",2.35875222424272e-29,0.283983898999698,0.07,0.056,3.61233541534912e-24
"ZFC3H1",2.37008251193767e-29,0.238236649074518,0.23,0.208,3.62816158151151e-24
"EPHB3",2.37778057397224e-29,-0.673338337418456,0.03,0.04,3.63841651339619e-24
"FAM13B",2.48988386419397e-29,0.159734060926594,0.421,0.401,3.80835383408482e-24
